tenant_id,return_id,order_id,product_id,sku,returned_at,refund_amount,return_reason,restock_status
tenant_apex_fashion,RET-536379-1,ORD-536379,PROD-SKU-D,SKU-D,2010-12-01T09:41:00+00:00,2887.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536383-2,ORD-536383,PROD-SKU-35004C,SKU-35004C,2010-12-01T09:49:00+00:00,488.25,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536391-3,ORD-536391,PROD-SKU-22556,SKU-22556,2010-12-01T10:24:00+00:00,2079.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536391-4,ORD-536391,PROD-SKU-21984,SKU-21984,2010-12-01T10:24:00+00:00,730.80,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536391-5,ORD-536391,PROD-SKU-21983,SKU-21983,2010-12-01T10:24:00+00:00,730.80,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536391-6,ORD-536391,PROD-SKU-21980,SKU-21980,2010-12-01T10:24:00+00:00,730.80,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536391-7,ORD-536391,PROD-SKU-21484,SKU-21484,2010-12-01T10:24:00+00:00,4347.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536391-8,ORD-536391,PROD-SKU-22557,SKU-22557,2010-12-01T10:24:00+00:00,2079.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536391-9,ORD-536391,PROD-SKU-22553,SKU-22553,2010-12-01T10:24:00+00:00,4158.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536506-10,ORD-536506,PROD-SKU-22960,SKU-22960,2010-12-01T12:38:00+00:00,2677.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536543-11,ORD-536543,PROD-SKU-22632,SKU-22632,2010-12-01T14:30:00+00:00,220.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536543-12,ORD-536543,PROD-SKU-22355,SKU-22355,2010-12-01T14:30:00+00:00,178.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-13,ORD-536548,PROD-SKU-22244,SKU-22244,2010-12-01T14:33:00+00:00,819.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-14,ORD-536548,PROD-SKU-22242,SKU-22242,2010-12-01T14:33:00+00:00,866.25,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-15,ORD-536548,PROD-SKU-20914,SKU-20914,2010-12-01T14:33:00+00:00,309.75,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-16,ORD-536548,PROD-SKU-22892,SKU-22892,2010-12-01T14:33:00+00:00,918.75,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-17,ORD-536548,PROD-SKU-22654,SKU-22654,2010-12-01T14:33:00+00:00,624.75,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-18,ORD-536548,PROD-SKU-22767,SKU-22767,2010-12-01T14:33:00+00:00,2089.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-19,ORD-536548,PROD-SKU-22333,SKU-22333,2010-12-01T14:33:00+00:00,173.25,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-20,ORD-536548,PROD-SKU-22245,SKU-22245,2010-12-01T14:33:00+00:00,178.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-21,ORD-536548,PROD-SKU-22077,SKU-22077,2010-12-01T14:33:00+00:00,1039.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-22,ORD-536548,PROD-SKU-22631,SKU-22631,2010-12-01T14:33:00+00:00,204.75,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-23,ORD-536548,PROD-SKU-22168,SKU-22168,2010-12-01T14:33:00+00:00,1785.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-24,ORD-536548,PROD-SKU-21218,SKU-21218,2010-12-01T14:33:00+00:00,1181.25,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-25,ORD-536548,PROD-SKU-20957,SKU-20957,2010-12-01T14:33:00+00:00,152.25,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536548-26,ORD-536548,PROD-SKU-22580,SKU-22580,2010-12-01T14:33:00+00:00,2499.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536606-27,ORD-536606,PROD-SKU-20914,SKU-20914,2010-12-02T09:10:00+00:00,619.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536622-28,ORD-536622,PROD-SKU-22752,SKU-22752,2010-12-02T10:37:00+00:00,1785.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536625-29,ORD-536625,PROD-SKU-22839,SKU-22839,2010-12-02T10:46:00+00:00,3139.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536642-30,ORD-536642,PROD-SKU-21463,SKU-21463,2010-12-02T11:56:00+00:00,624.75,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536734-31,ORD-536734,PROD-SKU-22780,SKU-22780,2010-12-02T12:50:00+00:00,1785.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536734-32,ORD-536734,PROD-SKU-85048,SKU-85048,2010-12-02T12:50:00+00:00,834.75,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536737-33,ORD-536737,PROD-SKU-22798,SKU-22798,2010-12-02T13:05:00+00:00,619.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536757-34,ORD-536757,PROD-SKU-84347,SKU-84347,2010-12-02T14:23:00+00:00,29484.00,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536758-35,ORD-536758,PROD-SKU-21314,SKU-21314,2010-12-02T14:25:00+00:00,220.50,Customer Changed Mind / Defective,RESTOCKED
tenant_apex_fashion,RET-536760-36,ORD-536760,PROD-SKU-22175,SKU-22175,2010-12-02T14:29:00+00:00,309.75,Customer Changed Mind / Defective,RESTOCKED
